Video,Video title,Video publish time,Views,Watch time (hours),Subscribers,Your estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,5741,253.1931,138,0,38496,6.37
VApXDsYO5Gg,How to use Storybook JS to create a component design system in React,"Jun 9, 2020",984,50.2425,7,0,5998,9.75
aYZRRyukuIw,How to Add Drag and Drop in React with React Beautiful DnD,"Oct 1, 2020",771,32.451,12,0,3037,10.7
q9tpBtvTTz8,How to Use Framer Motion to Add Animations and Page Transitions to a Next.js React App,"Jul 13, 2020",385,14.6907,7,0,1970,7.87
oxUPXhZ1t9I,Next.js GraphQL Tutorial - Launch Dashboard with SpaceX GraphQL API & Apollo Client,"Dec 1, 2020",281,12.1665,7,0,1769,7.86
ubB5l-HVPgY,How to Use Chakra UI with Next.js and React,"Oct 20, 2020",247,9.1296,2,0,1685,6.94
mcaYol_XFk4,Draggable Kanban App with Svelte ft. Brittney Postma - Colbyashi Maru,"Mar 3, 2021",228,15.1458,0,0,2904,3.17
QwEQKM4YRnU,What is Open Graph and how can it help my website with social media?,"Mar 26, 2020",181,4.4614,1,0,1101,7.9
C1-hmauMht0,Sass in Next.js Tutorial - Write SCSS with CSS Modules,"Jan 7, 2021",171,6.6915,1,0,822,4.38
OtcA2EAlldo,How to Use SVG Icons in React with React Icons and Font Awesome,"Sep 24, 2020",163,4.9936,0,0,787,8.01
KFuaybrXCdw,How to Use Postman to Test APIs and Manage Collections,"Jun 30, 2020",153,6.6368,0,0,727,7.57
1n-jHHNSoTw,How to Use Github Actions to Automate Tests and Slack Notifications,"Jun 2, 2020",135,6.1246,1,0,692,7.95
8YWrmZoUYGs,How to Use the YouTube API in React to Add a Playlist to a Next.js App,"Aug 6, 2020",120,3.9128,1,0,483,8.07
iW39Merz0zE,Data Fetching in Next.js - Rick and Morty REST API Tutorial,"Jul 9, 2020",116,6.7385,1,0,647,7.26
NGjBskaix2o,Deploy Next.js to Cloudflare Pages - Cloudflare Static Web Apps Tutorial,"Mar 8, 2021",113,6.269,,0,1164,3.87
tuzys2b1J70,Git Commit Hooks with Husky - Format with Prettier on Pre-Commit Tutorial,"Oct 13, 2020",106,4.465,1,0,347,8.65
TR2va67cVkQ,How to Sync VS Code Settings and Extensions Across Computers and Multiple Devices,"Jun 16, 2020",99,2.8634,1,0,429,11.19
oFGs_x7kxZg,How to Create a Next.js Starter and Add Sass to a Next.js React App,"Aug 18, 2020",93,2.0949,1,0,454,6.17
1GPYnoG_nkE,Intro to Agile Software Development with Jira,"May 12, 2020",90,4.3972,1,0,942,6.69
GryBIsfBfro,How to create a Coronavirus (COVID-19) Dashboard & Map App in React with Gatsby and Leaflet,"Mar 31, 2020",89,2.3536,1,0,708,3.39
GZl-yEz4_qw,How to Add Search to a React App with Fuse.js,"May 26, 2020",81,2.9903,1,0,378,12.43
oq_RPOI0xsU,How to add environment variables with Gatsby and Netlify,"Apr 28, 2020",80,1.9886,0,0,265,8.68
GLxgxnLTVLE,Create a Custom Contact Form with Netlify Forms and Next.js,"Aug 26, 2020",78,2.7014,3,0,575,5.57
KcPJr1b_rv0,How to Create a Custom Mapbox Style and Add it to React Leaflet,"Apr 8, 2020",75,1.608,0,0,504,7.54
 -gU-gkfEA1Q,What is the blink Tag in HTML? How to recreate it with CSS animations,"Jul 27, 2020",65,1.0762,0,0,136,7.35
VQZk_t5R3E4,Promises in JavaScript: Asynchronous Programming & Requests - Jelly Drop,"Feb 24, 2021",63,2.0489,2,0,606,2.97
6ElI2ZJ4Uro,What is SSG? Next.js Static Site Generation & Jamstack Apps,"Nov 18, 2020",52,2.1502,0,0,293,5.8
D3h91EvRxuk,Use Github Actions to Automatically Deploy a Static Site  - Next.js & AWS S3,"Oct 28, 2020",52,2.445,2,0,517,4.06
9nV4pIrKmyE,Jamstack App Tutorial - Create a Next.js App & Deploy to Vercel,"Sep 17, 2020",46,0.9445,0,0,574,3.31
5UZBhWAlyTo,Full Stack Serverless with Prisma & Next.js ft. Mahmoud Abdelwahab - Colbyashi Maru,"Feb 18, 2021",45,8.9802,2,0,806,2.48
auyZWWjXJCo,CSS Loading Animation Tutorial - Create a CSS Only Loading Skeleton with CSS Gradients,"May 5, 2020",44,1.0478,0,0,159,2.52
